season,week,home_team,away_team,model_spread,sigma,actual_margin,closing_spread_home,edge,model_side_correct,vegas_side_correct,edge_bucket,abs_edge,chosen_side,p_win,ev_per_1,breakeven_p,won,bet_side
2022,3,NE,BAL,-8.428072978767185,7.943190336058034,-11.0,-2.5,-5.928072978767185,True,True,"(-7, -5]",5.928072978767185,AWAY,0.7841129230650641,0.49694285312421327,0.5238095238095238,True,BAL +2.5
2023,17,BAL,MIA,7.919270483898282,7.943190336058034,37.0,3.0,4.919270483898282,True,True,"(3, 5]",4.919270483898282,HOME,0.783927406019676,0.4965886842193815,0.5238095238095238,True,BAL +3.0
2022,2,BAL,MIA,7.919270483898282,7.943190336058034,-4.0,3.0,4.919270483898282,False,False,"(3, 5]",4.919270483898282,HOME,0.783927406019676,0.4965886842193815,0.5238095238095238,False,BAL +3.0
2021,17,WAS,PHI,-4.412623588747554,7.943190336058034,-4.0,-6.5,2.087376411252446,True,True,"(2, 3]",2.087376411252446,AWAY,0.7837872581639451,0.49632112922207705,0.5238095238095238,True,PHI +6.5
2020,1,WAS,PHI,-5.408642153096428,7.943190336058034,10.0,-5.5,0.0913578469035716,False,False,"(-1, 1]",0.0913578469035716,AWAY,0.7837032855484058,0.49616081786513844,0.5238095238095238,False,PHI +5.5
2018,17,MIN,CHI,4.888721281690356,7.943190336058034,-14.0,6.0,-1.1112787183096442,False,False,"(-2, -1]",1.1112787183096442,HOME,0.7832828502102763,0.49535816858325477,0.5238095238095238,False,MIN +6.0
2020,6,NE,DEN,3.8691324968317713,7.943190336058034,-6.0,7.0,-3.1308675031682287,False,False,"(-5, -3]",3.1308675031682287,HOME,0.7828689631497077,0.4945680205585328,0.5238095238095238,True,NE +7.0
2022,11,IND,PHI,-4.358910291818955,7.943190336058034,-1.0,-6.5,2.1410897081810454,True,True,"(2, 3]",2.1410897081810454,AWAY,0.782652799252985,0.494155344028426,0.5238095238095238,True,PHI +6.5
2021,7,TEN,KC,-6.84969096059607,7.943190336058034,24.0,-4.0,-2.84969096059607,False,False,"(-3, -2]",2.84969096059607,AWAY,0.7824577360965086,0.49378295072969824,0.5238095238095238,False,KC +4.0
2024,18,NE,BUF,-7.805835738040958,7.943190336058034,7.0,-3.0,-4.805835738040958,False,False,"(-5, -3]",4.805835738040958,AWAY,0.7815284622912471,0.49200888255601705,0.5238095238095238,False,BUF +3.0
2020,2,CHI,NYG,6.293049138234725,7.943190336058034,4.0,4.5,1.793049138234725,True,True,"(1, 2]",1.793049138234725,HOME,0.7812570897870043,0.49149080777518994,0.5238095238095238,True,CHI +4.5
2024,14,KC,LAC,5.791723758688216,7.943190336058034,2.0,5.0,0.7917237586882164,True,True,"(-1, 1]",0.7917237586882164,HOME,0.7812289499062812,0.4914370861847187,0.5238095238095238,True,KC +5.0
