season,week,away_team,home_team,closing_spread_home,model_spread,raw_edge,norm_edge,bet_side,won
2019,11,DEN,MIN,10.0,4.477727033983567,-5.522272966016433,-0.5522272966016433,DEN -10.0,False
2019,9,TEN,CAR,3.5,-0.3714028313739061,-3.871402831373906,-0.5530575473391294,TEN -3.5,False
2024,4,LA,CHI,3.0,-0.8723321271643415,-3.8723321271643414,-0.5531903038806202,LA -3.0,False
2020,6,NYJ,MIA,9.5,4.23299716784074,-5.26700283215926,-0.5544213507536063,NYJ -9.5,False
2024,10,BUF,IND,-4.5,-8.397313634588151,-3.8973136345881514,-0.5567590906554502,BUF +4.5,True
2023,5,NO,NE,2.5,-1.399096414491119,-3.899096414491119,-0.5570137734987313,NO -2.5,True
2023,6,BAL,TEN,-5.5,-9.405021777846814,-3.905021777846814,-0.5578602539781163,BAL +5.5,True
2020,4,DEN,NYJ,1.0,-2.9067375390142742,-3.9067375390142742,-0.5581053627163249,DEN -1.0,True
2024,15,KC,CLE,-4.5,-8.444094720807122,-3.944094720807122,-0.563442102972446,KC +4.5,True
2021,18,SF,LA,3.0,-0.9465621736547551,-3.946562173654755,-0.5637945962363936,SF -3.0,True
2018,4,NYJ,JAX,7.5,3.2646360734703883,-4.235363926529612,-0.5647151902039482,NYJ -7.5,False
2019,15,JAX,OAK,7.0,3.03387606456188,-3.96612393543812,-0.5665891336340171,JAX -7.0,True
2018,3,CIN,CAR,2.5,-1.4699942411862472,-3.969994241186247,-0.5671420344551782,CIN -2.5,False
2021,11,PIT,LAC,5.5,1.5207588211895409,-3.979241178810459,-0.5684630255443512,PIT -5.5,False
2024,7,PHI,NYG,-3.0,-6.983975499341872,-3.983975499341872,-0.5691393570488389,PHI +3.0,True
2019,11,ATL,CAR,3.5,-0.4885491885548954,-3.988549188554895,-0.5697927412221279,ATL -3.5,True
2023,5,GB,LV,1.0,-3.019247713099189,-4.019247713099189,-0.5741782447284555,GB -1.0,False
2019,6,SEA,CLE,1.0,-3.021830961064525,-4.021830961064525,-0.574547280152075,SEA -1.0,True
2022,13,LAC,LV,2.5,-1.5324426042694137,-4.032442604269414,-0.5760632291813448,LAC -2.5,False
2019,2,SF,CIN,1.0,-3.034201853740597,-4.034201853740597,-0.576314550534371,SF -1.0,True
2019,7,NO,CHI,4.0,-0.0510662478102528,-4.051066247810253,-0.578723749687179,NO -4.0,True
2023,12,GB,DET,8.5,3.5565374929819065,-4.9434625070180935,-0.5815838243550698,GB -8.5,True
2023,1,ARI,WAS,7.0,2.9238503293722795,-4.0761496706277205,-0.5823070958039601,ARI -7.0,False
2020,2,MIN,IND,3.5,-0.5804086519102586,-4.0804086519102585,-0.5829155217014655,MIN -3.5,False
2019,16,JAX,ATL,7.5,3.121447077424863,-4.378552922575137,-0.5838070563433516,JAX -7.5,False
2020,9,DEN,ATL,4.5,0.4031557772071269,-4.096844222792873,-0.5852634603989818,DEN -4.5,False
2019,2,PHI,ATL,-1.0,-5.106327053842569,-4.106327053842569,-0.5866181505489384,PHI +1.0,False
2024,1,PIT,ATL,4.0,-0.1079520312069863,-4.107952031206986,-0.5868502901724266,PIT -4.0,True
2023,11,ARI,HOU,5.5,1.3779974080035418,-4.122002591996458,-0.5888575131423511,ARI -5.5,False
2023,12,BUF,PHI,2.5,-1.6279255291104,-4.1279255291104,-0.5897036470157715,BUF -2.5,False
2018,4,MIN,LA,7.5,3.063292005091681,-4.4367079949083195,-0.5915610659877759,MIN -7.5,False
