season,week,away_team,home_team,closing_spread_home,model_spread,edge,edge_bin,confidence,bet_side,won
2018,17,ARI,SEA,15.5,7.788124059960834,-7.711875940039166,huge,STRONG,ARI -15.5,False
2020,1,NYJ,BUF,6.5,14.207460936878716,7.707460936878716,huge,STRONG,BUF +6.5,True
2023,16,BAL,SF,6.5,-1.2058166932724028,-7.705816693272403,huge,STRONG,BAL -6.5,True
2024,6,BUF,NYJ,-1.0,-8.690408403642264,-7.690408403642264,huge,STRONG,BUF +1.0,True
2023,11,LV,MIA,14.0,6.32175209418377,-7.67824790581623,huge,STRONG,LV -14.0,False
2018,17,ATL,TB,-2.5,5.177845152811131,7.677845152811131,huge,STRONG,TB -2.5,False
2023,5,JAX,BUF,5.5,13.17701073896331,7.677010738963309,huge,STRONG,BUF +5.5,False
2018,2,MIN,GB,-2.0,5.647836123988548,7.647836123988548,huge,STRONG,GB -2.0,False
2018,5,JAX,KC,3.0,10.64230114022711,7.64230114022711,huge,STRONG,KC +3.0,True
2019,10,MIA,IND,11.0,3.358991068821349,-7.641008931178651,huge,STRONG,MIA -11.0,True
2020,16,CHI,JAX,-9.5,-1.898219922660369,7.601780077339631,huge,STRONG,JAX -9.5,False
2018,16,MIN,DET,-6.5,1.0840504344826771,7.584050434482677,huge,STRONG,DET -6.5,False
2019,6,NO,JAX,2.5,-5.072905845898228,-7.572905845898228,huge,STRONG,NO -2.5,True
2020,5,PHI,PIT,7.5,-0.0505455770930336,-7.550545577093033,huge,STRONG,PHI -7.5,False
2020,14,NYJ,SEA,16.5,8.969246854608299,-7.530753145391701,huge,STRONG,NYJ -16.5,False
2023,2,BAL,CIN,3.5,-4.024784622924575,-7.524784622924575,huge,STRONG,BAL -3.5,True
2023,2,NYG,ARI,-5.0,2.511334619360593,7.511334619360593,huge,STRONG,ARI -5.0,False
2022,1,DEN,SEA,-6.0,1.5048768108254476,7.504876810825447,huge,STRONG,SEA -6.0,True
2020,6,CIN,IND,7.5,0.0022919662761221,-7.497708033723878,huge,STRONG,CIN -7.5,False
2018,14,ATL,GB,4.0,11.493627539916185,7.493627539916185,huge,STRONG,GB +4.0,True
2018,9,GB,NE,5.0,-2.4906248824961903,-7.49062488249619,huge,STRONG,GB -5.0,False
2018,15,WAS,JAX,7.5,0.0323881896691993,-7.4676118103308005,huge,STRONG,WAS -7.5,True
2023,14,SEA,SF,14.5,7.03441211406235,-7.46558788593765,huge,STRONG,SEA -14.5,False
2019,6,ATL,ARI,-3.0,4.462497884433435,7.462497884433435,huge,STRONG,ARI -3.0,True
2021,8,MIA,BUF,15.0,7.543036540899491,-7.456963459100509,huge,STRONG,MIA -15.0,False
2022,8,GB,BUF,10.5,3.0537333909630653,-7.446266609036934,huge,STRONG,GB -10.5,False
2022,1,NO,ATL,-6.0,1.4337897307965728,7.433789730796573,huge,STRONG,ATL -6.0,False
2019,11,DAL,DET,-7.5,-0.0712769796931094,7.428723020306891,huge,STRONG,DET -7.5,False
2018,14,NO,TB,-8.5,-1.0933283359755748,7.406671664024425,huge,STRONG,TB -8.5,False
2020,4,JAX,CIN,1.0,8.384537875166115,7.3845378751661155,huge,STRONG,CIN +1.0,True
2021,13,JAX,LA,14.0,6.625277394666866,-7.374722605333134,huge,STRONG,JAX -14.0,False
2024,15,DAL,CAR,2.5,-4.832405969858154,-7.332405969858154,huge,STRONG,DAL -2.5,True
2021,2,HOU,CLE,13.5,6.201085327820336,-7.298914672179664,huge,STRONG,HOU -13.5,False
2021,17,CLE,PIT,-1.0,6.282758193488179,7.282758193488179,huge,STRONG,PIT -1.0,True
2021,6,TB,PHI,-7.0,0.2789348760262105,7.27893487602621,huge,STRONG,PHI -7.0,False
2019,12,PIT,CIN,-5.5,1.7709284857382324,7.270928485738232,huge,STRONG,CIN -5.5,False
2018,14,PIT,OAK,-10.5,-3.2647793385417816,7.235220661458218,huge,STRONG,OAK -10.5,True
2020,13,CIN,MIA,10.5,3.297958738437333,-7.202041261562667,huge,STRONG,CIN -10.5,False
2022,13,CLE,HOU,-7.5,-0.2984027412417147,7.2015972587582855,huge,STRONG,HOU -7.5,False
2018,13,KC,OAK,-14.0,-6.8201156162780645,7.1798843837219355,huge,STRONG,OAK -14.0,False
2018,14,BAL,KC,6.5,-0.6767576661800094,-7.176757666180009,huge,STRONG,BAL -6.5,False
